"","daytime_pop","daytime_density","travel_to","DP0010001","brewery","cafe","medinc","b_hs","hs","phd","oldpop","youngpop","dist1","dist2","dist3","dist4","zone","hood"
"1",68036,82189.4309581479,66239,4070,0,0,76320,4,49.8,24.3,4170,247,0,0,0,0,"Downtown Office Core 1","Central Business District"
"2",22059,23820.6052176617,20936,4668,0,0,84153,0,63.9,30.4,4930,794,0,0,1,2,"Downtown Mixed Commercial","Belltown"
"3",45725,124691.509524004,44641,3280,0,1,67500,5.5,20.3,28.7,3440,585,0,0,0,1,"Downtown Office Core 1","Central Business District"
"4",7036,29632.0005390699,6373,2505,0,1,52878,0,61.4,20.4,2665,298,0,0,0,0,"Downtown Mixed Commercial","Central Business District"
"5",68036,82189.4309581479,66239,4070,0,1,76320,4,49.8,24.3,4170,247,0,0,1,1,"Downtown Retail Core","Central Business District"
"6",8090,21143.9697868615,7246,3760,0,0,49857,0,72.9,24.8,3522,643,0,0,0,0,"Highrise","First Hill"
"7",7036,29632.0005390699,6373,2505,0,0,52878,0,61.4,20.4,2665,298,0,0,0,0,"Neighborhood Commercial 3","Broadway"
"8",22059,23820.6052176617,20936,4668,0,1,84153,0,63.9,30.4,4930,794,0,0,0,1,"Downtown Office Core 2","Belltown"
"9",22059,23820.6052176617,20936,4668,0,0,84153,0,63.9,30.4,4930,794,0,0,0,1,"Downtown Mixed Commercial","Belltown"
"10",22059,23820.6052176617,20936,4668,0,1,84153,0,63.9,30.4,4930,794,0,0,0,1,"Downtown Mixed Commercial","Belltown"
"11",22059,23820.6052176617,20936,4668,0,2,84153,0,63.9,30.4,4930,794,0,0,0,1,"Downtown Mixed Commercial","Belltown"
"12",22059,23820.6052176617,20936,4668,0,0,84153,0,63.9,30.4,4930,794,0,0,1,2,"Downtown Mixed Commercial","Belltown"
"13",45725,124691.509524004,44641,3280,0,0,67500,5.5,20.3,28.7,3440,585,0,0,0,0,"Highrise","First Hill"
"14",68036,82189.4309581479,66239,4070,1,0,76320,4,49.8,24.3,4170,247,0,1,1,1,"Downtown Harborfront 2","Pike-Market"
"15",45725,124691.509524004,44641,3280,0,1,67500,5.5,20.3,28.7,3440,585,0,0,0,0,"Downtown Mixed Commercial","Central Business District"
"16",45725,124691.509524004,44641,3280,0,0,67500,5.5,20.3,28.7,3440,585,0,0,1,1,"Highrise","First Hill"
"17",68036,82189.4309581479,66239,4070,0,2,76320,4,49.8,24.3,4170,247,0,0,0,1,"Downtown Mixed Commercial","Central Business District"
"18",68036,82189.4309581479,66239,4070,3,1,76320,4,49.8,24.3,4170,247,0,0,1,1,"Pike Market Mixed","Pike-Market"
"19",22059,23820.6052176617,20936,4668,0,3,84153,0,63.9,30.4,4930,794,0,0,0,2,"Downtown Mixed Commercial","Belltown"
"20",9615,41975.9015105213,8472,3013,0,4,42480,2.9,22.8,19.2,2864,522,0,1,1,1,"Downtown Mixed Commercial","Pike-Market"
"21",68036,82189.4309581479,66239,4070,0,2,76320,4,49.8,24.3,4170,247,0,0,0,0,"Downtown Office Core 1","Central Business District"
"22",7036,29632.0005390699,6373,2505,0,0,52878,0,61.4,20.4,2665,298,0,0,0,0,"Highrise","First Hill"
"23",68036,82189.4309581479,66239,4070,0,2,76320,4,49.8,24.3,4170,247,0,0,0,1,"Downtown Retail Core","Central Business District"
